id,id,host_listings_count,host_response_rate,host_acceptance_rate,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,neighbourhood_cleansed,latitude,longitude
8595649,8595649,2,90%,,7,2.0,1.0,4.0,$375.00 ,,,1,1125,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89455911,-77.01421941
4729118,4729118,2,100%,95%,4,2.0,2.0,3.0,$180.00 ,$250.00 ,$50.00 ,7,21,48,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90125875,-77.01451525
2790026,2790026,3,100%,100%,4,1.0,1.0,1.0,$149.00 ,$95.00 ,$100.00 ,3,1125,32,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90553359,-77.03355048
5844616,5844616,206,92%,76%,5,2.0,2.0,3.0,$337.00 ,,$100.00 ,3,1125,6,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90045936,-77.02641873
96259,96259,480,58%,51%,4,2.0,2.0,2.0,$299.00 ,,,3,730,7,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90107449,-77.01924635
23378,23378,480,58%,51%,3,1.0,1.0,1.0,$249.00 ,,,4,365,6,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89371298,-77.01877537
5405828,5405828,1,70%,100%,3,0.0,1.5,1.0,$126.00 ,$500.00 ,$100.00 ,2,1125,5,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90010512,-77.01525407
8167267,8167267,1,100%,100%,2,1.0,1.0,1.0,$99.00 ,$100.00 ,,1,1125,1,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.901897,-77.02814153
4808149,4808149,480,58%,51%,4,2.0,2.0,2.0,$299.00 ,,,3,365,2,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90089161,-77.01954766
924888,924888,480,58%,51%,2,1.0,1.0,1.0,$199.00 ,,$200.00 ,7,1125,1,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90285281,-77.0189909
4659838,4659838,1,100%,100%,3,1.0,1.0,3.0,$89.00 ,$95.00 ,$30.00 ,1,1125,1,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89580043,-77.01152205
8664363,8664363,1,,,2,0.0,1.0,1.0,$165.00 ,$400.00 ,$75.00 ,1,1125,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89835142,-77.02201071
786693,786693,480,58%,51%,4,2.0,2.0,2.0,$309.00 ,,,4,365,1,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89423151,-77.01865832
8133514,8133514,1,100%,,2,0.0,1.0,1.0,$115.00 ,,,1,1125,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89866949,-77.01474773
1304225,1304225,2,100%,100%,4,1.0,1.0,2.0,$130.00 ,,$25.00 ,1,1125,85,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90285224,-77.02231745
7637938,7637938,1,50%,100%,2,1.0,2.0,1.0,$95.00 ,,$10.00 ,1,1125,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90049015,-77.01566757
6744470,6744470,1,100%,93%,1,1.0,1.0,1.0,$50.00 ,$95.00 ,$15.00 ,2,1125,6,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90154862,-77.01226564
5869529,5869529,190,87%,70%,3,1.0,1.0,1.0,$569.00 ,,$100.00 ,3,1125,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89407341,-77.01946295
3672217,3672217,1,100%,,1,1.0,1.0,1.0,$55.00 ,,,20,21,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89904091,-77.01668928
7596192,7596192,3,100%,100%,2,1.0,1.5,1.0,$49.00 ,$95.00 ,$12.00 ,1,1125,3,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90585558,-77.0122052
6900870,6900870,25,99%,89%,4,2.0,1.0,2.0,$250.00 ,$500.00 ,$115.00 ,3,1125,4,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.9051221,-77.02711971
36943,36943,480,58%,51%,2,1.0,,1.0,$198.00 ,,$150.00 ,7,365,0,"Shaw, Logan Circle",38.91350858,-77.01883911
1839589,1839589,206,92%,76%,5,2.0,2.0,3.0,$311.00 ,,$100.00 ,3,1125,3,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89388717,-77.01881191
2115864,2115864,1,100%,95%,2,0.0,1.0,1.0,$95.00 ,,$25.00 ,2,29,35,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89933372,-77.01645959999999
7825726,7825726,1,100%,100%,1,1.0,1.0,2.0,$59.00 ,$200.00 ,$30.00 ,1,1125,1,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90405978,-77.01706374
3172888,3172888,2,83%,100%,2,1.0,1.0,1.0,$167.00 ,$575.00 ,$104.00 ,5,1125,31,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89538942,-77.02054559
6106389,6106389,2,100%,100%,3,1.0,1.0,1.0,$165.00 ,$135.00 ,,1,1125,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90509797,-77.0167189
2477325,2477325,4,100%,100%,3,1.0,1.5,1.0,$104.00 ,$200.00 ,,2,1125,11,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.905682899999995,-77.01202827
805490,805490,3,97%,100%,2,1.0,,1.0,$99.00 ,$500.00 ,,1,1125,169,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90492917,-77.02635790000001
4811421,4811421,17,43%,46%,4,1.0,1.0,3.0,$159.00 ,,$120.00 ,1,1125,0,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89895269,-77.01493549999999
